"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias e permanentes"
"Cód.","Município","2010"
"Cód.","Município","Total"
"1504703","Moju (PA)","21228"
"1504752","Mojuí dos Campos (PA)","..."
"1504802","Monte Alegre (PA)","30246"
"1504901","Muaná (PA)","265"
"1504950","Nova Esperança do Piriá (PA)","5180"
"1504976","Nova Ipixuna (PA)","2134"
"1505007","Nova Timboteua (PA)","2691"
"1505031","Novo Progresso (PA)","6225"
"1505064","Novo Repartimento (PA)","25718"
"1505106","Óbidos (PA)","13186"
"1505205","Oeiras do Pará (PA)","2472"
"1505304","Oriximiná (PA)","11610"
"1505403","Ourém (PA)","1833"
"1505437","Ourilândia do Norte (PA)","3521"
"1505486","Pacajá (PA)","13425"
"1505494","Palestina do Pará (PA)","1235"
"1505502","Paragominas (PA)","58515"
"1505536","Parauapebas (PA)","11514"
"1505551","Pau D'Arco (PA)","1545"
"1505601","Peixe-Boi (PA)","1982"
"1505635","Piçarra (PA)","3366"
"1505650","Placas (PA)","14303"
"1505700","Ponta de Pedras (PA)","265"
"1505809","Portel (PA)","954"
"1505908","Porto de Moz (PA)","1018"
"1506005","Prainha (PA)","8209"
"1506104","Primavera (PA)","1168"
"1506112","Quatipuru (PA)","585"
"1506138","Redenção (PA)","4015"
"1506161","Rio Maria (PA)","1384"
"1506187","Rondon do Pará (PA)","12124"
"1506195","Rurópolis (PA)","11665"
"1506203","Salinópolis (PA)","1365"
"1506302","Salvaterra (PA)","500"
"1506351","Santa Bárbara do Pará (PA)","162"
"1506500","Santa Izabel do Pará (PA)","1155"
"1506559","Santa Luzia do Pará (PA)","2980"
"1506583","Santa Maria das Barreiras (PA)","11285"
"1506609","Santa Maria do Pará (PA)","12515"
"1506708","Santana do Araguaia (PA)","9742"
"1506807","Santarém (PA)","55760"
"1506906","Santarém Novo (PA)","1220"
"1507003","Santo Antônio do Tauá (PA)","4421"
"1507102","São Caetano de Odivelas (PA)","461"
"1507151","São Domingos do Araguaia (PA)","6785"
"1507201","São Domingos do Capim (PA)","10685"
"1507300","São Félix do Xingu (PA)","19091"
"1507409","São Francisco do Pará (PA)","5919"
"1507458","São Geraldo do Araguaia (PA)","11478"
"1507466","São João da Ponta (PA)","1199"
"1507474","São João de Pirabas (PA)","740"
"1507508","São João do Araguaia (PA)","4480"
"1507607","São Miguel do Guamá (PA)","8476"
"1507706","São Sebastião da Boa Vista (PA)","590"
"1507755","Sapucaia (PA)","668"
"1507805","Senador José Porfírio (PA)","3938"
"1507904","Soure (PA)","150"
"1507953","Tailândia (PA)","22322"
"1507961","Terra Alta (PA)","828"
"1507979","Terra Santa (PA)","570"
"1508001","Tomé-Açu (PA)","22489"
"1508035","Tracuateua (PA)","5845"
"1508050","Trairão (PA)","14289"
"1508084","Tucumã (PA)","4315"
"1508100","Tucuruí (PA)","10025"
"1508126","Ulianópolis (PA)","32156"
"1508159","Uruará (PA)","17348"
"1508209","Vigia (PA)","1279"
"1508308","Viseu (PA)","7311"
"1508357","Vitória do Xingu (PA)","5700"
"1508407","Xinguara (PA)","3512"
"1600055","Serra do Navio (AP)","1258"
"1600105","Amapá (AP)","502"
"1600154","Pedra Branca do Amapari (AP)","2054"
"1600204","Calçoene (AP)","1406"
"1600212","Cutias (AP)","537"
"1600238","Ferreira Gomes (AP)","802"
"1600253","Itaubal (AP)","1796"
"1600279","Laranjal do Jari (AP)","2007"
"1600303","Macapá (AP)","2066"
"1600402","Mazagão (AP)","1716"
"1600501","Oiapoque (AP)","2957"
"1600535","Porto Grande (AP)","2256"
"1600550","Pracuúba (AP)","722"
"1600600","Santana (AP)","1003"
"1600709","Tartarugalzinho (AP)","3174"
"1600808","Vitória do Jari (AP)","1131"
"1700251","Abreulândia (TO)","250"
"1700301","Aguiarnópolis (TO)","167"
"1700350","Aliança do Tocantins (TO)","1159"
"1700400","Almas (TO)","1825"
"1700707","Alvorada (TO)","8498"
"1701002","Ananás (TO)","394"
"1701051","Angico (TO)","575"
"1701101","Aparecida do Rio Negro (TO)","5485"
"1701309","Aragominas (TO)","1407"
"1701903","Araguacema (TO)","1425"
"1702000","Araguaçu (TO)","4761"
"1702109","Araguaína (TO)","4166"
"1702158","Araguanã (TO)","700"
"1702208","Araguatins (TO)","1260"
"1702307","Arapoema (TO)","2210"
"1702406","Arraias (TO)","6925"
"1702554","Augustinópolis (TO)","357"
"1702703","Aurora do Tocantins (TO)","1186"
"1702901","Axixá do Tocantins (TO)","224"
"1703008","Babaçulândia (TO)","2779"
"1703057","Bandeirantes do Tocantins (TO)","1650"
"1703073","Barra do Ouro (TO)","4410"
"1703107","Barrolândia (TO)","780"
"1703206","Bernardo Sayão (TO)","1720"
"1703305","Bom Jesus do Tocantins (TO)","7190"
"1703602","Brasilândia do Tocantins (TO)","4060"
"1703701","Brejinho de Nazaré (TO)","7980"
"1703800","Buriti do Tocantins (TO)","173"
"1703826","Cachoeirinha (TO)","167"
"1703842","Campos Lindos (TO)","64025"
"1703867","Cariri do Tocantins (TO)","8887"
"1703883","Carmolândia (TO)","530"
"1703891","Carrasco Bonito (TO)","122"
"1703909","Caseara (TO)","1545"
"1704105","Centenário (TO)","2980"
"1704600","Chapada de Areia (TO)","215"
"1705102","Chapada da Natividade (TO)","6916"
"1705508","Colinas do Tocantins (TO)","970"
"1705557","Combinado (TO)","2140"
"1705607","Conceição do Tocantins (TO)","795"
"1706001","Couto Magalhães (TO)","2295"
"1706100","Cristalândia (TO)","3766"
"1706258","Crixás do Tocantins (TO)","2186"
"1706506","Darcinópolis (TO)","11230"
"1707009","Dianópolis (TO)","32692"
"1707108","Divinópolis do Tocantins (TO)","410"
"1707207","Dois Irmãos do Tocantins (TO)","1665"
"1707306","Dueré (TO)","7359"
"1707405","Esperantina (TO)","615"
"1707553","Fátima (TO)","2930"
"1707652","Figueirópolis (TO)","7683"
"1707702","Filadélfia (TO)","2682"
"1708205","Formoso do Araguaia (TO)","39815"
"1708254","Fortaleza do Tabocão (TO)","2520"
"1708304","Goianorte (TO)","2640"
"1709005","Goiatins (TO)","20145"
"1709302","Guaraí (TO)","11420"
"1709500","Gurupi (TO)","3923"
"1709807","Ipueiras (TO)","4376"
"1710508","Itacajá (TO)","6160"
"1710706","Itaguatins (TO)","139"
"1710904","Itapiratins (TO)","8860"
"1711100","Itaporã do Tocantins (TO)","1810"
"1711506","Jaú do Tocantins (TO)","1352"
"1711803","Juarina (TO)","820"
"1711902","Lagoa da Confusão (TO)","54185"
"1711951","Lagoa do Tocantins (TO)","1224"
"1712009","Lajeado (TO)","302"
"1712157","Lavandeira (TO)","678"
"1712405","Lizarda (TO)","380"
"1712454","Luzinópolis (TO)","303"
"1712504","Marianópolis do Tocantins (TO)","1355"
"1712702","Mateiros (TO)","36415"
"1712801","Maurilândia do Tocantins (TO)","181"
"1713205","Miracema do Tocantins (TO)","2612"
"1713304","Miranorte (TO)","1675"
"1713601","Monte do Carmo (TO)","18659"
"1713700","Monte Santo do Tocantins (TO)","330"
"1713809","Palmeiras do Tocantins (TO)","260"
"1713957","Muricilândia (TO)","968"
"1714203","Natividade (TO)","1627"
"1714302","Nazaré (TO)","323"
"1714880","Nova Olinda (TO)","7630"
"1715002","Nova Rosalândia (TO)","1094"
"1715101","Novo Acordo (TO)","1265"
"1715150","Novo Alegre (TO)","696"
"1715259","Novo Jardim (TO)","2481"
"1715507","Oliveira de Fátima (TO)","430"
"1715705","Palmeirante (TO)","6260"
"1715754","Palmeirópolis (TO)","3116"
"1716109","Paraíso do Tocantins (TO)","665"
"1716208","Paranã (TO)","1910"
"1716307","Pau D'Arco (TO)","1310"
"1716505","Pedro Afonso (TO)","30510"
"1716604","Peixe (TO)","15026"
"1716653","Pequizeiro (TO)","1250"
"1716703","Colméia (TO)","2990"
"1717008","Pindorama do Tocantins (TO)","2515"
"1717206","Piraquê (TO)","1020"
"1717503","Pium (TO)","5090"
"1717800","Ponte Alta do Bom Jesus (TO)","1795"
"1717909","Ponte Alta do Tocantins (TO)","2495"
"1718006","Porto Alegre do Tocantins (TO)","832"
"1718204","Porto Nacional (TO)","19348"
"1718303","Praia Norte (TO)","148"
"1718402","Presidente Kennedy (TO)","3040"
"1718451","Pugmil (TO)","585"
"1718501","Recursolândia (TO)","1550"
"1718550","Riachinho (TO)","872"
"1718659","Rio da Conceição (TO)","2007"
"1718709","Rio dos Bois (TO)","4580"
"1718758","Rio Sono (TO)","1185"
"1718808","Sampaio (TO)","101"
"1718840","Sandolândia (TO)","655"
"1718865","Santa Fé do Araguaia (TO)","2027"
"1718881","Santa Maria do Tocantins (TO)","2100"
"1718899","Santa Rita do Tocantins (TO)","2601"
"1718907","Santa Rosa do Tocantins (TO)","13425"
"1719004","Santa Tereza do Tocantins (TO)","1057"
"1720002","Santa Terezinha do Tocantins (TO)","201"
"1720101","São Bento do Tocantins (TO)","259"
"1720150","São Félix do Tocantins (TO)","370"
"1720200","São Miguel do Tocantins (TO)","107"
"1720259","São Salvador do Tocantins (TO)","1007"
"1720309","São Sebastião do Tocantins (TO)","68"
"1720499","São Valério (TO)","5288"
"1720655","Silvanópolis (TO)","12753"
"1720804","Sítio Novo do Tocantins (TO)","182"
"1720853","Sucupira (TO)","5402"
"1720903","Taguatinga (TO)","4675"
"1720937","Taipas do Tocantins (TO)","640"
"1720978","Talismã (TO)","3232"
"1721000","Palmas (TO)","8450"
"1721109","Tocantínia (TO)","185"
"1721208","Tocantinópolis (TO)","150"
"1721257","Tupirama (TO)","9780"
"1721307","Tupiratins (TO)","3870"
"1722081","Wanderlândia (TO)","2405"
"1722107","Xambioá (TO)","1311"
"2100055","Açailândia (MA)","5833"
"2100105","Afonso Cunha (MA)","2520"
"2100154","Água Doce do Maranhão (MA)","3866"
"2100204","Alcântara (MA)","2449"
"2100303","Aldeias Altas (MA)","11824"
"2100402","Altamira do Maranhão (MA)","2488"
"2100436","Alto Alegre do Maranhão (MA)","3289"
"2100477","Alto Alegre do Pindaré (MA)","18500"
"2100501","Alto Parnaíba (MA)","35254"
"2100550","Amapá do Maranhão (MA)","2039"
"2100600","Amarante do Maranhão (MA)","3027"
"2100709","Anajatuba (MA)","5165"
"2100808","Anapurus (MA)","19565"
"2100832","Apicum-Açu (MA)","592"
"2100873","Araguanã (MA)","5256"
"2100907","Araioses (MA)","12787"
"2100956","Arame (MA)","17084"
"2101004","Arari (MA)","4139"
"2101103","Axixá (MA)","1004"
"2101202","Bacabal (MA)","9817"
"2101251","Bacabeira (MA)","1120"
"2101301","Bacuri (MA)","1041"
"2101350","Bacurituba (MA)","467"
"2101400","Balsas (MA)","139810"
"2101509","Barão de Grajaú (MA)","2376"
"2101608","Barra do Corda (MA)","18391"
"2101707","Barreirinhas (MA)","12945"
"2101731","Belágua (MA)","4882"
"2101772","Bela Vista do Maranhão (MA)","1390"
"2101806","Benedito Leite (MA)","1736"
"2101905","Bequimão (MA)","4532"
"2101939","Bernardo do Mearim (MA)","2033"
"2101970","Boa Vista do Gurupi (MA)","1666"
"2102002","Bom Jardim (MA)","22179"
"2102036","Bom Jesus das Selvas (MA)","16580"
"2102077","Bom Lugar (MA)","4039"
"2102101","Brejo (MA)","25516"
"2102150","Brejo de Areia (MA)","7351"
"2102200","Buriti (MA)","24250"
"2102309","Buriti Bravo (MA)","10978"
"2102325","Buriticupu (MA)","24805"
"2102358","Buritirana (MA)","1927"
"2102374","Cachoeira Grande (MA)","1751"
"2102408","Cajapió (MA)","1832"
"2102507","Cajari (MA)","1883"
"2102556","Campestre do Maranhão (MA)","7414"
"2102606","Cândido Mendes (MA)","7853"
"2102705","Cantanhede (MA)","6845"
"2102754","Capinzal do Norte (MA)","4273"
"2102804","Carolina (MA)","14084"
"2102903","Carutapera (MA)","1775"
"2103000","Caxias (MA)","17880"
"2103109","Cedral (MA)","799"
"2103125","Central do Maranhão (MA)","1037"
"2103158","Centro do Guilherme (MA)","4596"
"2103174","Centro Novo do Maranhão (MA)","7042"
"2103208","Chapadinha (MA)","17641"
"2103257","Cidelândia (MA)","1051"
"2103307","Codó (MA)","19294"
"2103406","Coelho Neto (MA)","11208"
"2103505","Colinas (MA)","11779"
"2103554","Conceição do Lago-Açu (MA)","1944"
"2103604","Coroatá (MA)","13093"
"2103703","Cururupu (MA)","667"
"2103752","Davinópolis (MA)","1095"
