"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
3302254,28824.495584,1766.9770481893,1953.6802675973,21.8525478025,21.5940828716
3302270,10819.6291712,1379.7591552734,1413.3845214844,23.2323379517,22.5576400757
3302304,33566.8444318,1331.5139232933,1590.4040750698,24.4449402359,23.6403324557
3302403,163208.277029,1664.3836874148,1622.8998611779,23.4367932417,22.6649438483
3302452,10338.3842122,1418.3820329346,1449.1228654325,22.2663217099,21.9941107931
3302502,50682.1988779,1628.0568847656,1760.0064697266,18.9862232208,21.2296218872
3302601,45761.808887,,,,
3302700,47942.3314459,,,,
3302809,9930.77960382,1416.021362922,1399.0119082394,23.2008031042,22.4551380516
3302858,5101.10599921,,,,
3302908,37561.7670142,1436.0061435747,1605.9268565637,21.6955923193,21.9497166622
3303005,40894.9951031,1268.7871166647,1555.6384390898,24.5001602867,23.6422429171
3303104,52213.2618913,1328.0119828702,1457.8095490527,24.5861449243,23.8027529353
3303203,2419.65026482,,,,
3303302,16985.7482341,,,,
3303401,123779.625603,2113.641418457,2082.417175293,20.864780426,21.6926527023
3303500,67576.3485728,1475.947627122,1734.8119734779,22.8654732923,22.4701266097
3303609,23376.2062349,1407.3466118757,1389.6428867607,23.3294451895,22.5554350343
3303708,76176.5915306,1327.2644559856,1424.3814271095,20.0621121766,21.0878346827
3303807,118258.53013,,,,
3303856,41773.429061,1443.0591988573,1624.7437733317,19.9089044113,21.262533528
3303906,104144.845976,1579.2165051356,1717.5872969245,19.1792014422,21.2237148038
3303955,9970.48449688,1451.1736852579,1449.6185863174,23.2074136711,22.4274985488
3304003,65545.6132279,1451.1639258815,1370.743606514,23.4274744364,22.5248274821
3304102,40990.8778998,1378.1438790813,1503.2160971466,23.7932454756,23.1607355296
3304110,6527.07229365,1757.1613769531,1917.0170898438,22.4957447052,22.0988521576
3304128,36741.6325951,1655.8949371968,1844.9828827992,22.5990401977,22.1108931685
3304144,10059.2941736,1379.7591552734,1413.3845214844,23.2323379517,22.5576400757
3304151,97324.0138269,,,,
3304201,142698.902595,1691.3070188493,1837.2845998134,22.2433395924,21.8793972819
3304300,61147.5009913,2109.7602566985,2392.1402726332,21.4853021148,22.1098477719
3304409,108619.935008,1442.5973225035,1462.8188402652,23.1442128843,22.4034531153
3304508,62396.9901327,1365.95464338,1441.6733511576,20.9996930237,21.263342492
3304524,31061.7219543,1828.0203857422,1774.5802001953,23.259393692,22.5222549438
3304557,154728.612948,,,,
3304607,110065.750892,1319.4246437152,1312.5314346839,24.0693137204,23.2454413397
3304706,81052.5121313,1218.5160692686,1401.703444347,24.1110113018,23.1711527768
3304755,152542.434882,1024.8844604492,940.6799316406,25.037935257,24.7174825668
3304805,138961.823541,1081.6801757813,1062.5922241211,24.805021286,24.1767282486
3304904,32711.4975329,,,,
3305000,63015.5867398,957.4399414063,876.6088867188,25.1059951782,24.8580436707
3305109,4572.93395353,,,,
3305133,33816.9934502,1188.2775683953,1309.6635092253,24.8245487358,24.0307403351
3305158,29079.1058975,1344.9663086139,1443.7816264107,19.4315720396,21.0365640086
3305208,45619.1954333,1968.0593261719,1874.3948974609,23.3239364624,22.6825141907
3305307,53197.0506286,1316.1328719119,1409.8150686907,23.4612458038,22.7180301423
3305406,71618.8148974,1316.839454707,1414.1344697498,19.9455299966,21.1774850797
3305505,47208.7076199,,,,
3305554,36935.544928,1383.0089904671,1410.5877286813,23.2437772998,22.5573803192
3305604,124828.612081,2114.422157563,2152.5150137289,22.0794379343,22.1506389994
3305703,52442.0607499,1507.3010324092,1577.3171227621,20.5960040244,21.4177991256
3305752,19225.4512603,2107.3935546875,2408.0305175781,21.4187793732,22.0995235443
3305802,101710.884899,1819.0040343724,1954.7911153021,19.3241675702,21.2736965786
3305901,78876.3641908,1507.4126231392,1504.0421779989,22.9030652206,22.3357005198
3306008,42694.1410446,1256.285887683,1322.7008854626,19.4655125488,20.9406403252
3306107,169635.525423,1524.4627572008,1633.2736660402,22.1463458557,21.7460721558
3306156,25640.2142001,1366.2481997493,1454.5041948756,23.8174695812,23.225607004
3306206,72002.6452564,1377.7866578104,1456.8321821543,21.7967925532,21.7477844349
3306305,23522.3867544,1526.1073359781,1672.181098217,22.8167564646,22.220599313
3500105,48010.6261656,1314.4382290583,1303.0722675143,24.0869067304,23.9063391495
3500204,25043.4190131,1316.8256447821,997.6112910546,24.376352861,23.8058379314
3500303,58451.0687471,1455.1054511056,1209.6056280117,21.9635415732,21.0126542248
3500402,17756.9996661,1598.8863114445,1280.5352525447,19.8328894924,19.6970919167
3500501,7440.96893022,1604.7525900378,1351.6875995178,21.5101827116,19.7450331397
3500550,48752.7442417,1442.3156279304,1223.9857131957,21.7010435604,21.617826426
3500600,406.470169584,1363.4262695313,1313.1351318359,22.1081142426,21.6505260468
3500709,115267.742086,1390.0031125405,1230.1140117951,22.1668948885,21.9872804411
3500758,19240.4431687,1304.163491535,1315.3498010749,21.3303412512,21.3260492116
3500808,13691.7768535,1299.9647645765,1266.9291361866,23.8923202946,23.8534516489
3500907,37655.0345845,1386.5087223542,1268.5503725711,24.5431465219,24.123441537
3501004,114490.416016,1635.7883300781,1392.4594116211,22.4306869507,21.9812202454
3501103,37792.0871159,1311.8006117662,1212.277278503,24.1291535414,23.6681440593
3501152,10247.6530208,1391.1839838965,1405.0647078429,22.0154554909,21.4327588132
3501202,43000.5203299,1361.2850181891,1085.5224879755,24.8619468028,24.5569929962
3501301,40215.0873079,1332.0426006939,1289.0654025109,23.8690219691,23.7956793067
3501400,18065.7118553,1420.1033984402,1219.7507576364,22.905265007,22.8471349945
3501509,10006.0312296,1438.0207471848,1233.9106863177,22.5026300576,22.5410463242
3501608,16364.8401519,1413.1334946067,1137.6302840309,22.1533684045,21.3303962834
